epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,477.949,0.33359,0.4177,0.82745,0.98481,0.97968,0.98687,0.88533,0.41025,0.30839,0.8817,0.000234068,0.000234068,0.000234068
77,483.729,0.31273,0.40704,0.82202,0.98648,0.97917,0.98694,0.88418,0.40551,0.30731,0.88198,0.000225068,0.000225068,0.000225068
78,489.644,0.34307,0.41692,0.82295,0.98382,0.98144,0.98686,0.88277,0.39682,0.30078,0.88178,0.000216069,0.000216069,0.000216069
79,495.645,0.31208,0.39584,0.82111,0.98391,0.98159,0.98668,0.89297,0.38108,0.29937,0.87147,0.00020707,0.00020707,0.00020707
80,501.472,0.3111,0.40394,0.83343,0.98485,0.97904,0.98664,0.89514,0.378,0.29413,0.87084,0.000198071,0.000198071,0.000198071
81,507.236,0.30793,0.39269,0.80831,0.98627,0.97629,0.98642,0.89271,0.37782,0.29758,0.87523,0.000189072,0.000189072,0.000189072
82,513.095,0.30602,0.38663,0.81345,0.98627,0.97664,0.98641,0.89589,0.37394,0.29853,0.87257,0.000180073,0.000180073,0.000180073
83,519.066,0.28943,0.39518,0.81791,0.98433,0.97665,0.98645,0.89729,0.37451,0.29716,0.87088,0.000171074,0.000171074,0.000171074
84,524.986,0.30453,0.38733,0.82565,0.98147,0.97692,0.98643,0.89742,0.37455,0.29722,0.87143,0.000162075,0.000162075,0.000162075
85,530.856,0.30731,0.39579,0.82603,0.98256,0.97609,0.98646,0.89643,0.37298,0.28913,0.8716,0.000153076,0.000153076,0.000153076
86,536.952,0.31868,0.40581,0.81529,0.97959,0.97801,0.98659,0.89678,0.37125,0.28826,0.87131,0.000144077,0.000144077,0.000144077
87,542.866,0.29313,0.38891,0.80907,0.98138,0.97748,0.9871,0.89954,0.3638,0.28604,0.8655,0.000135077,0.000135077,0.000135077
88,548.995,0.29449,0.38948,0.82183,0.98303,0.97733,0.98671,0.90008,0.35682,0.28368,0.86178,0.000126078,0.000126078,0.000126078
89,555.936,0.31697,0.38683,0.82194,0.98291,0.97673,0.98646,0.89899,0.35509,0.28117,0.86176,0.000117079,0.000117079,0.000117079
90,562.527,0.30157,0.38913,0.81957,0.98193,0.9778,0.98656,0.89798,0.35748,0.28114,0.8641,0.00010808,0.00010808,0.00010808
91,597.17,0.29298,0.48037,0.80809,0.98101,0.97904,0.98675,0.89725,0.36089,0.28787,0.86635,9.9081e-05,9.9081e-05,9.9081e-05
92,603.572,0.26105,0.42723,0.79586,0.98197,0.97853,0.9866,0.89378,0.3765,0.30365,0.87043,9.00819e-05,9.00819e-05,9.00819e-05
93,609.419,0.29021,0.46914,0.80511,0.97993,0.97946,0.98638,0.89374,0.37037,0.30578,0.86991,8.10828e-05,8.10828e-05,8.10828e-05
94,615.399,0.26617,0.4645,0.79454,0.98341,0.97695,0.98644,0.89385,0.35777,0.30383,0.86879,7.20837e-05,7.20837e-05,7.20837e-05
95,621.342,0.24736,0.4425,0.78679,0.98341,0.97768,0.98692,0.89121,0.36637,0.29456,0.87024,6.30846e-05,6.30846e-05,6.30846e-05
96,627.292,0.25166,0.42086,0.79158,0.98278,0.97923,0.98735,0.8931,0.366,0.28646,0.87014,5.40855e-05,5.40855e-05,5.40855e-05
97,633.043,0.24051,0.40742,0.7856,0.98219,0.97985,0.98758,0.89502,0.36057,0.28272,0.86873,4.50864e-05,4.50864e-05,4.50864e-05
98,639.031,0.24033,0.40048,0.79802,0.9804,0.98074,0.98761,0.8956,0.36101,0.2832,0.86769,3.60873e-05,3.60873e-05,3.60873e-05
99,645.118,0.23245,0.39505,0.78692,0.97997,0.98119,0.98766,0.89567,0.36192,0.28337,0.8688,2.70882e-05,2.70882e-05,2.70882e-05
100,650.951,0.24362,0.40129,0.78995,0.98293,0.97825,0.9876,0.89424,0.36355,0.28405,0.87067,1.80891e-05,1.80891e-05,1.80891e-05
